sample_id,batch_time_ms,throughput_tps,batch_size,bit_size
0,23.5710,593.9513,14,64
1,23.4760,596.3527,14,64
2,23.2084,603.2294,14,64
3,23.3813,598.7683,14,64
4,23.1908,603.6890,14,64
5,23.3847,598.6818,14,64
6,23.9339,584.9450,14,64
7,23.7120,590.4173,14,64
8,23.2661,601.7332,14,64
9,23.4867,596.0829,14,64
10,23.4845,596.1379,14,64
11,23.0207,608.1492,14,64
12,23.3848,598.6808,14,64
13,23.1116,605.7569,14,64
14,23.6375,592.2802,14,64
15,23.5549,594.3558,14,64
16,23.9807,583.8026,14,64
17,23.6787,591.2474,14,64
18,23.6586,591.7514,14,64
19,23.5235,595.1506,14,64
20,23.5228,595.1675,14,64
21,23.4600,596.7604,14,64
22,23.8365,587.3345,14,64
23,23.7721,588.9251,14,64
24,23.8498,587.0072,14,64
25,23.4844,596.1400,14,64
26,23.3790,598.8270,14,64
27,23.4483,597.0595,14,64
28,23.3070,600.6769,14,64
29,23.4127,597.9669,14,64
30,24.1461,579.8042,14,64
31,23.6154,592.8331,14,64
32,23.6868,591.0457,14,64
33,23.3110,600.5738,14,64
34,23.1323,605.2146,14,64
35,23.6956,590.8274,14,64
36,23.1425,604.9465,14,64
37,23.8162,587.8349,14,64
38,23.5217,595.1949,14,64
39,23.6054,593.0842,14,64
40,23.4001,598.2885,14,64
41,23.9292,585.0580,14,64
42,23.5043,595.6348,14,64
43,23.5232,595.1580,14,64
44,24.0185,582.8830,14,64
45,23.3033,600.7735,14,64
46,23.7091,590.4910,14,64
47,23.4671,596.5803,14,64
48,23.8772,586.3332,14,64
49,25.4108,550.9461,14,64
50,33.7318,415.0387,14,64
51,25.1974,555.6134,14,64
52,25.4455,550.1955,14,64
53,30.6487,456.7886,14,64
54,23.6795,591.2287,14,64
55,24.6061,568.9640,14,64
56,23.3559,599.4209,14,64
57,23.8080,588.0376,14,64
58,23.5944,593.3607,14,64
59,23.5819,593.6763,14,64
60,23.3521,599.5182,14,64
61,23.7272,590.0410,14,64
62,23.5147,595.3731,14,64
63,23.5887,593.5033,14,64
64,23.4460,597.1178,14,64
65,24.1025,580.8536,14,64
66,24.0537,582.0298,14,64
67,23.3515,599.5332,14,64
68,23.9145,585.4199,14,64
69,23.4138,597.9371,14,64
70,23.4599,596.7626,14,64
71,24.0099,583.0924,14,64
72,23.5894,593.4875,14,64
73,23.5775,593.7864,14,64
74,23.4381,597.3174,14,64
75,24.1655,579.3373,14,64
76,24.2970,576.2019,14,64
77,24.7235,566.2619,14,64
78,24.3066,575.9757,14,64
79,23.9655,584.1721,14,64
80,23.8317,587.4516,14,64
81,23.6616,591.6764,14,64
82,23.3860,598.6488,14,64
83,24.1124,580.6137,14,64
84,24.0128,583.0236,14,64
85,24.0259,582.7041,14,64
86,24.8710,562.9046,14,64
87,23.8678,586.5645,14,64
88,24.3796,574.2500,14,64
89,23.5807,593.7067,14,64
90,25.5583,547.7666,14,64
91,24.1205,580.4191,14,64
92,24.2927,576.3036,14,64
93,24.0438,582.2699,14,64
94,23.5297,594.9925,14,64
95,23.3993,598.3087,14,64
96,23.2447,602.2876,14,64
97,23.6777,591.2745,14,64
98,23.9079,585.5801,14,64
99,23.5719,593.9281,14,64
